"x","y","Coastal_Aerosol","Blue","Green","Red","Near_Infrared","Shortwave_Infrared_1","Shortwave_Infrared_2","image_year","agriculture","Cropland_and_Pasture","Orchards_Groves_Vineyards","Confined_Feeding","Other_Ag_Land","Herbaceous_Rangeland","Shrub_Brush_Rangeland","Mixed_Rangeland","ndvi","ndwi","evi","sr","ag_type"
-158.165249180819,21.4079761146733,0.842886686325073,0.897220015525818,1.05397999286652,1.10623335838318,1.64976000785828,1.5092066526413,1.24434661865234,2022,"Yes",0,0,0,0,0,1,0,0.197216240116116,-0.220354033609758,0.531200660485843,1.4913309161726,"Shrub_Range"
-158.017027158939,21.3361108919438,0.828350007534027,0.878858327865601,0.999004185199738,1.01648330688477,1.41141247749329,1.31357502937317,1.13797080516815,2024,"Yes",1,0,0,0,0,0,0,0.162663147714014,-0.171094192417667,0.514532212183504,1.38852499390164,"Cropland_Pasture"
-158.030501888201,21.405730326463,0.84128749370575,0.877218723297119,0.989937484264374,0.99184376001358,1.58720004558563,1.36131870746613,1.12933123111725,2016,"Yes",1,0,0,0,0,0,0,0.230843805087571,-0.231754244545893,0.759723272193753,1.60025208563484,"Cropland_Pasture"
-157.978848759364,21.4192050557248,0.843573093414307,0.854788482189178,0.926742315292358,0.911207675933838,1.61657691001892,1.38870763778687,1.09710764884949,2020,"Yes",1,0,0,0,0,0,0,0.279046417960183,-0.271233979541885,1.05410558321807,1.7741037007422,"Cropland_Pasture"
-158.039485041042,21.562935501184,0.885744988918304,0.905390024185181,0.999549984931946,0.985864996910095,1.84810495376587,1.3616349697113,1.07741498947144,2023,"Yes",1,0,0,0,0,0,0,0.304251622939796,-0.297983775106528,1.09262149107736,1.87460246540674,"Cropland_Pasture"
-158.106858687351,21.4439087260381,0.861458361148834,0.879450023174286,0.972150027751923,0.920691668987274,1.95422494411469,1.24750828742981,0.998041689395905,2018,"Yes",0,0,0,0,0,1,0,0.359500261822293,-0.335594353356686,1.37255430755535,2.12256177604416,"Shrub_Range"
-158.068680287776,21.5472149837119,0.881240904331207,0.903868198394775,0.984840929508209,1.04751360416412,1.41561365127563,1.15049540996552,1.04287731647491,2016,"Yes",1,0,0,0,0,0,0,0.149444185759616,-0.179454643806157,0.478876974131674,1.35140359576069,"Cropland_Pasture"
-158.061942923145,21.6168344182311,0.834572017192841,0.844803988933563,0.908227980136871,0.941991984844208,1.22279596328735,1.27373194694519,1.12209594249725,2020,"Yes",1,0,0,0,0,0,0,0.129714311595972,-0.147613537671012,0.456230424599013,1.29809593177121,"Cropland_Pasture"
-158.059697134935,21.5225113133986,0.919754147529602,0.934762477874756,1.0010792016983,1.06896245479584,1.44386255741119,1.21612083911896,1.08547496795654,2023,"Yes",1,0,0,0,0,0,0,0.149194671652075,-0.181101800917402,0.507466980251877,1.35071400397028,"Cropland_Pasture"
-158.09787553451,21.3540771976262,0.939227283000946,0.967968165874481,1.06854093074799,1.16787731647491,1.45958185195923,1.39933180809021,1.21979546546936,2020,"Yes",0,0,0,0,0,1,0,0.11102152946421,-0.154676396212251,0.330418403319152,1.24977326930605,"Shrub_Range"
